,name,twitter,party,title,gender,state,district
483,Andy Kim,RepAndyKimNJ,Democrat,house of representatives,M,new jersey,3.0
484,Tom Malinowski,RepMalinowski,Democrat,house of representatives,M,new jersey,7.0
485,Mikie Sherrill,RepSherrill,Democrat,house of representatives,F,new jersey,11.0
486,Debra A. Haaland,RepDebHaaland,Democrat,house of representatives,F,new mexico,1.0
487,Xochitl Torres Small,RepTorresSmall,Democrat,house of representatives,F,new mexico,2.0
488,Susie Lee,RepSusieLee,Democrat,house of representatives,F,nevada,3.0
489,Max Rose,RepMaxRose,Democrat,house of representatives,M,new york,11.0
490,Alexandria Ocasio-Cortez,RepAOC,Democrat,house of representatives,F,new york,14.0
491,Antonio Delgado,repdelgado,Democrat,house of representatives,M,new york,19.0
492,Anthony Brindisi,RepBrindisi,Democrat,house of representatives,M,new york,22.0
493,Anthony Gonzalez,RepAGonzalez,Republican,house of representatives,M,ohio,16.0
494,Kendra S. Horn,RepKendraHorn,Democrat,house of representatives,F,oklahoma,5.0
495,Madeleine Dean,RepDean,Democrat,house of representatives,F,pennsylvania,4.0
496,Chrissy Houlahan,RepHoulahan,Democrat,house of representatives,F,pennsylvania,6.0
497,Daniel Meuser,RepMeuser,Republican,house of representatives,M,pennsylvania,9.0
498,John Joyce,RepJohnJoyce,Republican,house of representatives,M,pennsylvania,13.0
499,Guy Reschenthaler,GReschenthaler,Republican,house of representatives,M,pennsylvania,14.0
500,Joe Cunningham,RepCunningham,Democrat,house of representatives,M,south carolina,1.0
501,William R. Timmons IV,RepTimmons,Republican,house of representatives,M,south carolina,4.0
502,Dusty Johnson,RepDustyJohnson,Republican,house of representatives,M,south dakota,0.0
503,Tim Burchett,RepTimBurchett,Republican,house of representatives,M,tennessee,2.0
504,John W. Rose,RepJohnRose,Republican,house of representatives,M,tennessee,6.0
505,Mark E. Green,RepMarkGreen,Republican,house of representatives,M,tennessee,7.0
506,Dan Crenshaw,RepDanCrenshaw,Republican,house of representatives,M,texas,2.0
507,Van Taylor,RepVanTaylor,Republican,house of representatives,M,texas,3.0
508,Lance Gooden,RepLanceGooden,Republican,house of representatives,M,texas,5.0
509,Ron Wright,RepRonWright,Republican,house of representatives,M,texas,6.0
510,Lizzie Fletcher,RepFletcher,Democrat,house of representatives,F,texas,7.0
511,Veronica Escobar,RepEscobar,Democrat,house of representatives,F,texas,16.0
512,Chip Roy,RepChipRoy,Republican,house of representatives,M,texas,21.0
513,Sylvia R. Garcia,RepSylviaGarcia,Democrat,house of representatives,F,texas,29.0
514,Colin Z. Allred,RepColinAllred,Democrat,house of representatives,M,texas,32.0
515,Ben McAdams,RepBenMcAdams,Democrat,house of representatives,M,utah,4.0
516,Elaine G. Luria,RepElaineLuria,Democrat,house of representatives,F,vermont,2.0
517,Denver Riggleman,RepRiggleman,Republican,house of representatives,M,vermont,5.0
518,Ben Cline,RepBenCline,Republican,house of representatives,M,vermont,6.0
