phrase,total_occurrences,bias_score,p_dem,p_rep,n_dem,n_rep
effective,331,-0.02365329692092811,0.005184493227463802,0.004944899689177734,222,105
100 000,330,-0.29271339531077517,0.006025221858944418,0.003296599792785156,258,70
del,329,0.040157256112347106,0.004997664642690331,0.005415842516718471,214,115
practicing,329,-0.11441216774277913,0.005511443250817375,0.00437976829612885,236,93
new york,329,-0.2535679521614106,0.0059318075665576835,0.0035320712065555243,254,75
central,329,-0.13676374434605784,0.0055815039701074265,0.004238485447866629,239,90
covid19 cases,329,-0.45990983905767274,0.006492293320878095,0.0024018084204577564,278,51
moment,328,-0.3005982155617714,0.0059551611396543675,0.0032024112272770085,255,68
rise,328,-0.23989526814764295,0.005838393274170948,0.0035791654893095977,250,76
group,328,0.20054568073511497,0.004390471742176553,0.006593199585570312,188,140
june,328,0.049163097725481227,0.004950957496496964,0.005462936799472544,212,116
paid sick,327,-0.44534608532926145,0.006258757589911256,0.0024018084204577564,268,51
house gov media,326,-0.27256562750841273,0.0059318075665576835,0.003390788358293303,254,72
visit https,326,0.04720269942371215,0.00492760392340028,0.005415842516718471,211,115
battle,326,0.20825267129492933,0.004320411022886501,0.006593199585570312,185,140
child care,325,-0.40864127718016546,0.00628211116300794,0.0026372798342281247,269,56
irs,325,0.03164653354339815,0.004950957496496964,0.005274559668456249,212,112
va,324,0.08517976932960623,0.004764128911723494,0.005651313930488839,204,120
air,324,-0.20199984578581798,0.005674918262494162,0.0037675426203258922,243,80
demand,323,-0.17044269671161927,0.0055815039701074265,0.003955919751342187,239,84
pt,323,-0.7872923488332623,0.007122839794488557,0.0008476970895733258,305,18
serving,323,-0.04079762826511108,0.005161139654367118,0.004756522558161439,221,101
fight covid 19,323,0.27807403547791926,0.004016814572629613,0.0071112366958651215,172,151
much needed,322,0.05527831077305712,0.004764128911723494,0.005321653951210323,204,113
seen,321,-0.007749671851608094,0.004974311069593648,0.00489780540642366,213,104
briefing,321,-0.13531494150429074,0.005441382531527324,0.004144296882358482,233,88
develop,321,0.10248374241994153,0.004600653900046707,0.005651313930488839,197,120
aca,321,-0.9873575398162208,0.007403082671648762,4.7094282754073654e-05,317,1
thursday,320,-0.1800892289629386,0.005558150397010742,0.0038617311858340398,238,82
calls,320,0.05480697050590754,0.004810836057916861,0.005368748233964397,206,114
dc,320,-0.007637884170344328,0.005021018215787015,0.004944899689177734,215,105
lack,320,-0.4392982639921249,0.006165343297524521,0.0024018084204577564,264,51
cdc gov coronavirus,320,-0.10271419707926124,0.005324614666043905,0.004332674013374776,228,92
www cdc gov,320,-0.050776912489109205,0.005161139654367118,0.004662333992653292,221,99
www cdc,320,-0.050776912489109205,0.005161139654367118,0.004662333992653292,221,99
phase,319,0.5443366538494899,0.002779075198505371,0.00941885655081473,119,200
payment,319,-0.08858962158569561,0.0052312003736571695,0.00437976829612885,224,93
frontline workers,319,-0.530373582848154,0.006445586174684726,0.0019779598756710934,276,42
secretary,318,0.23867852343907248,0.004110228865016347,0.0066873881510784595,176,142
iowa,318,0.48931139679832164,0.003035964502568893,0.008853725157765847,130,188
closed,318,0.04597971394684693,0.004810836057916861,0.005274559668456249,206,112
facts,318,0.2136552926351365,0.004180289584306399,0.006451916737308091,179,137
infrastructure,318,0.006513763254692264,0.0048808967772069126,0.004944899689177734,209,105
strategy,318,-0.4885770294304743,0.006305464736104624,0.002166337006687388,270,46
email,318,-0.01725200177812043,0.005021018215787015,0.0048507111236695865,215,103
proud join,318,-0.3885013480208858,0.0060952825782344695,0.0026843741169821985,261,57
solutions,316,0.09165167635797501,0.004624007473143391,0.005557125364980691,198,118
meals,316,-0.12031267727818364,0.005277907519850537,0.004144296882358482,226,88
question,316,-0.12594037885442708,0.005277907519850537,0.004097202599604408,226,87
scams,315,0.06018802952871675,0.004717421765530126,0.005321653951210323,202,113
newsletter,315,0.2101567618822398,0.004180289584306399,0.006404822454554017,179,136
public health emergency,315,-0.338525947665404,0.005908453993460999,0.002919845530752567,253,62
violence,315,-0.41121064825955134,0.0060952825782344695,0.002543091268719977,261,54
vp,314,0.44299612709085306,0.0031994395142456796,0.008288593764716964,137,176
things,314,0.025604636300450793,0.004787482484820177,0.0050390882546858815,205,107
cut,314,-0.30623762870012466,0.005674918262494162,0.003014034096260714,243,64
30pm,314,-0.3546860612490638,0.0059318075665576835,0.0028256569652444193,254,60
gov news,314,-0.01510477551197126,0.004950957496496964,0.004803616840915513,212,102
coronavirus 2019,314,-0.104830819575258,0.0052312003736571695,0.004238485447866629,224,90
nationwide,314,-0.3190491217520729,0.005838393274170948,0.003014034096260714,250,64
